Director,Country
Christopher Nolan,United Kingdom
Denis Villeneuve,Canada
Martin Scorsese,United States
Lee Unkrich,United States
Dean DeBlois,Canada
Tom Hooper,United Kingdom
Darren Aronofsky,United States
Jee-woon Kim,South Korea
David O. Russell,United States
David Fincher,United States
David Yates,United Kingdom
Nathan Greno,United States
Ethan Coen,United States
Pierre Coffin,France
Matthew Vaughn,United Kingdom
Danny Boyle,United Kingdom
Eli Craig,United States
Ben Affleck,United States
Edgar Wright,United Kingdom
Derek Cianfrance,United States
Paul Haggis,Canada
Peter Weir,Australia
Roman Polanski,Poland
Tom McGrath,United States
Allen Coulter,United States
Debra Granik,United States
Mark Romanek,United States
Matt Reeves,United States
Anna Boden,United States
Rodrigo Cortés,Spain
Will Gluck,United States
Robert Schwentke,Germany
Jon Favreau,United States
Lisa Cholodenko,United States
Albert Hughes,United States
James Wan,Australia
Joseph Kosinski,United States
Paul Greengrass,United Kingdom
Tony Scott,United Kingdom
Adam McKay,United States
Edward Zwick,United States
Joe Carnahan,United States
Ethan Maniquis,United States
Ridley Scott,United Kingdom
Mike Newell,United Kingdom
Sylvester Stallone,United States
Todd Phillips,United States
Pierre Morel,France
Greg Berlanti,United States
Breck Eisner,United States
Olivier Nakache,France
Asghar Farhadi,Iran
Gavin O'Connor,United States
Tate Taylor,United States
Michel Hazanavicius,France
Nicolas Winding Refn,Denmark
Woody Allen,United States
Gareth Evans,United Kingdom
Rupert Wyatt,United Kingdom
Jonathan Levine,United States
Bennett Miller,United States
Pedro Almodóvar,Spain
Guy Ritchie,United Kingdom
Lynne Ramsay,United Kingdom
Duncan Jones,United Kingdom
Glenn Ficarra,United States
Brad Bird,United States
Neil Burger,United States
Justin Lin,United States
Brad Furman,United States
Alexander Payne,United States
Steven Spielberg,United States
Steve McQueen,United States
Lars von Trier,Denmark
Jennifer Yuh Nelson,United States
Gore Verbinski,United States
J.C. Chandor,United States
Cameron Crowe,United States
Tomas Alfredson,Sweden
George Clooney,United States
Shawn Levy,United States
J.J. Abrams,United States
Lone Scherfig,Denmark
George Nolfi,United States
Drew Goddard,United States
Greg Mottola,United States
Kenneth Branagh,United Kingdom
Seth Gordon,United States
Carlos Saldanha,Brazil
Francis Lawrence,Austria
Joe Johnston,United States
Paul Feig,United States
Jaume Collet-Serra,Spain
Quentin Tarantino,United States
Joss Whedon,United States
Gary Ross,United States
Peter Jackson,New Zealand
Sam Mendes,United Kingdom
Ang Lee,Taiwan
Seth MacFarlane,United States
Marc Webb,United States
Rian Johnson,United States
Phil Lord,United States
Stephen Chbosky,United States
Rich Moore,United States
Mark Andrews,United States
Tom Tykwer,Germany
Barry Sonnenfeld,United States
Robert Zemeckis,United States
Wes Anderson,United States
Christopher McQuarrie,United States
Simon West,United Kingdom
Olivier Megaton,France
Tony Gilroy,United States
Thomas Vinterberg,Denmark
Larry Charles,United States
Jason Moore,United States
Rupert Sanders,United Kingdom
Kathryn Bigelow,United States
Andrew Stanton,United States
Pete Travis,United Kingdom
Tim Burton,United States
Martin McDonagh,United Kingdom
Len Wiseman,United States
Josh Trank,United States
Peter Berg,United States
Bill Condon,United States
David Ayer,United States
John Hillcoat,Australia
Genndy Tartakovsky,Russia
Scott Derrickson,United States
Daniel Espinosa,Sweden
Jon Hurwitz,United States
J.A. Bayona,Spain
Steve Martino,United States
Nima Nourizadeh,Iran
Alfonso Cuarón,Mexico
Shane Black,United States
Zack Snyder,United States
Marc Forster,Germany
Alan Taylor,United States
Louis Leterrier,France
Chris Buck,United States
Spike Jonze,United States
Baz Luhrmann,Australia
Guillermo del Toro,Mexico
Jean-Marc Vallée,Canada
Ron Howard,United States
James Mangold,United States
Neill Blomkamp,South Africa
Rawson Marshall Thurber,United States
Evan Goldberg,Canada
Bong Joon Ho,South Korea
Dan Scanlon,United States
Richard Curtis,United Kingdom
Ben Stiller,United States
Antoine Fuqua,United States
Jeff Wadlow,United States
Joseph Gordon-Levitt,United States
Mikael Håfström,Sweden
Gavin Hood,South Africa
Roland Emmerich,Germany
Ruben Fleischer,United States
James DeMonaco,United States
Michael Bay,United States
Sam Raimi,United States
John Moore,Ireland
Baltasar Kormákur,Iceland
Tommy Wirkola,Norway
James Gunn,United States
Anthony Russo,United States
Damien Chazelle,United States
Morten Tyldum,Norway
Bryan Singer,United States
Doug Liman,United States
Alejandro G. Iñárritu,Mexico
Chad Stahelski,United States
Alex Garland,United Kingdom
Dan Gilroy,United States
Luc Besson,France
Clint Eastwood,United States
Wes Ball,United States
Don Hall,United States
James Marsh,United Kingdom
Gareth Edwards,United Kingdom
Josh Boone,United States
Robert Stromberg,United States
Richard Linklater,United States
Christopher Miller,United States
Nicholas Stoller,United Kingdom
Noam Murro,Israel
Michael Spierig,Germany
Wally Pfister,United States
José Padilha,Brazil
David Robert Mitchell,United States
Jonathan Liebesman,South Africa
Jennifer Kent,Australia
Gary Shore,Ireland
David Dobkin,United States
Damián Szifron,Argentina
George Miller,Australia
Pete Docter,United States
Colin Trevorrow,United States
Peyton Reed,United States
Tom McCarthy,United States
Lenny Abrahamson,Ireland
Sam Taylor-Johnson,United Kingdom
Ryan Coogler,United States
Nancy Meyers,United States
Yorgos Lanthimos,Greece
Brad Peyton,Canada
Kyle Balda,United States
Robert Eggers,United States
F. Gary Gray,United States
Lana Wachowski,United States
Scott Cooper,United States
Brian Helgeland,United States
Lee Toland Krieger,United States
Elizabeth Banks,United States
Joel Edgerton,Australia
Chris Columbus,United States
John Crowley,Ireland
Tim Miller,United States
Mel Gibson,Australia
Byron Howard,United States
M. Night Shyamalan,United States
Dan Trachtenberg,United States
Barry Jenkins,United States
Ron Clements,United States
Jon M. Chu,United States
Kenneth Lonergan,United States
Tom Ford,United States
Fede Alvarez,Uruguay
Garth Davis,Australia
Thea Sharrock,United Kingdom
David Mackenzie,United Kingdom
Theodore Melfi,United States
Makoto Shinkai,Japan
Matt Ross,United States
Justin Kurzel,Australia
Chris Renaud,United States
Greg Tiernan,Ireland
Terry George,Ireland
Sang-ho Yeon,South Korea
Nitesh Tiwari,India
Taika Waititi,New Zealand
Patty Jenkins,United States
Jon Watts,United States
Jordan Peele,United States
Andy Muschietti,Argentina
Jake Kasdan,United States
Jordan Vogt-Roberts,United States
Joachim Rønning,Norway
Greta Gerwig,United States
Michael Gracey,Australia
Luca Guadagnino,Italy
Taylor Sheridan,United States
Patrick Hughes,United Kingdom
Craig Gillespie,Australia
David Leitch,United States
Alex Kurtzman,United States
Joe Wright,United Kingdom
Aaron Sorkin,United States
James Franco,United States
Steven Soderbergh,United States
Chris McKay,United States
Nikolaj Arcel,Denmark
John Krasinski,United States
Peter Farrelly,United States
Bob Persichetti,United States
Bradley Cooper,United States
Susanne Bier,Denmark
Ari Aster,United States
Spike Lee,United States
John Francis Daley,United States
Roar Uthaug,Norway
Leigh Whannell,Australia
Jon Turteltaub,United States
Aneesh Chaganty,India
Travis Knight,United States
Phil Johnston,United States
Stefano Sollima,Italy
David Gordon Green,United States
Corin Hardy,United Kingdom
Jeff Tomsic,United States
Christian Rivers,New Zealand
David F. Sandberg,Sweden
Noah Baumbach,United States
Robert Rodriguez,United States
Benny Safdie,United States
Josh Cooley,United States
James Gray,United States
Vince Gilligan,United States
Galder Gaztelu-Urrutia,Spain
Simon Kinberg,United Kingdom
Mike Flanagan,United States
Dexter Fletcher,United Kingdom
Michael Dougherty,United States
Rob Letterman,United States
Matt Bettinelli-Olpin,United States
Fernando Meirelles,Brazil
Sergio Pablos,Spain
Kyle Newacheck,United States
Cathy Yan,China
Sam Hargrave,United States
Adil El Arbi,Belgium
Harry Bradbeer,United Kingdom
Gina Prince-Bythewood,United States
Niki Caro,New Zealand
Jason Woliner,United States
Mukesh Chhabra,India
Antonio Campos,United States
Jeff Fowler,United States
Max Barbakow,United States
J Blakeson,United Kingdom
Craig Zobel,United States
Henry Joost,Germany
Aaron Schneider,United States
Ric Roman Waugh,United States
Mahesh Bhatt,India
William Eubank,United States
Charlie Kaufman,United States
Dave Wilson,United States
Thomas Kail,United States
Sudha Kongara,India
David Dhawan,India
Barbara Bialowas,Poland
Emerald Fennell,United Kingdom
Stephen Gaghan,United States
Lawrence Raghavendra,India
John Whitesell,United States
Judd Apatow,United States
Chris Sanders,United States
Steven Brill,United States
Derrick Borte,Germany
Chloé Zhao,China
Michael Matthews,South Africa
